,word,time
0,MUSIC,3
1,Beware,2
2,the,22399
3,pitfalls,1
4,of,12752
5,sincerity,3
6,Composer,1
7,Robin,18
8,Holloway,1
9,considers,5
10,difficulties,28
11,assessing,2
12,a,9390
13,new,335
14,piece,50
15,music,44
16,By,159
17,ROBIN,1
18,HOLLOWAY,1
19,How,120
20,to,11073
21,ensure,21
22,sympathetic,1
23,reception,14
24,for,3340
25,Ideally,2
26,subject,56
27,should,461
28,combine,6
29,Ecology,4
30,with,2731
31,special,84
32,reference,6
33,tropical,8
34,Protest,1
35,preferably,1
36,shrill,1
37,and,9448
38,futile,2
39,It,1247
40,climax,2
41,an,1353
42,ecumenical,2
43,prayer,1
44,in,7515
45,every,150
46,known,127
47,language,37
48,simultaneously,1
49,intergalactic,1
50,peace,39
51,The,2626
52,musical,18
53,material,48
54,include,77
55,at,1968
56,least,132
57,three,260
58,following,70
59,Jewish,11
60,cantillation,1
61,Catholic,12
62,plainsong,1
63,Tibetan,1
64,chanting,4
65,Aboriginal,1
66,drumming,1
67,whalesong,1
68,idiom,1
69,be,2759
70,artfully,1
71,diguised,1
72,mod,1
73,cons,1
74,clusters,1
75,glissandi,1
76,electronics,5
77,there,1280
78,strong,57
79,element,29
80,plenty,24
81,repetition,9
82,la,3
83,Philip,3
84,Glass,4
85,When,117
86,inspiration,8
87,fails,5
88,fill,8
89,gaps,4
90,ritual,8
91,prolonged,6
92,amplified,1
93,threshold,2
94,pain,22
95,But,691
96,such,460
97,cynicism,2
98,will,1056
99,not,2426
100,do,1434
101,this,1631
102,is,5189
103,serious,67
104,matter,79
105,A,606
106,recent,73
107,first,389
108,visit,25
109,USSR,1
110,brought,85
111,into,616
112,focus,18
113,me,487
114,large,172
115,question,118
116,evaluating,1
117,whose,83
118,basis,63
119,appeal,41
120,grounded,1
121,circumstances,51
122,problem,120
123,dispassionate,1
124,judgement,4
125,compositions,1
126,that,4993
127,emerge,4
128,from,1736
129,some,813
130,cases,107
131,directly,36
132,express,12
133,political,79
134,oppression,1
135,wide,47
136,current,34
137,seems,147
138,touch,25
139,nerve,6
140,communal,2
141,masochism,1
142,Audiences,1
143,yearn,1
144,groan,2
145,under,269
146,yoke,1
147,suffering,35
148,they,2005
149,may,512
150,never,258
151,have,2719
152,experienced,9
153,There,429
154,even,398
155,kind,123
156,envy,4
157,depth,8
158,vision,13
159,which,1654
160,fate,9
161,thought,237
162,produce,36
163,conspicuous,16
164,case,222
165,Shostakovich,13
166,composer,4
167,enormous,23
168,gifts,9
169,awesome,3
170,copiousness,1
171,only,560
172,one,1289
173,satisfy,5
174,if,859
175,intermittently,1
176,both,189
177,his,1686
178,masters,2
179,West,44
180,Ever,2
181,since,182
182,just,543
183,criticism,18
184,meted,1
185,out,883
186,early,114
187,excesses,2
188,then,641
189,gigantic,2
190,success,42
191,Leningrad,2
192,Symphony,2
193,1940s,1
194,he,2511
195,has,1576
196,symbolized,2
197,artist,11
198,caught,29
199,net,17
200,public,134
201,events,35
202,As,195
203,we,955
204,now,577
205,know,1032
206,something,277
207,appalling,6
208,story,38
209,hounding,1
210,by,2041
211,cultural,18
212,officialdom,1
213,raucous,2
214,irony,2
215,middle,57
216,works,24
217,bitter,12
218,blackness,6
219,last,362
220,become,134
221,entirely,19
222,comprehensible,1
223,His,126
224,body,89
225,symphonic,1
226,chamber,12
227,achieve,11
228,genuine,16
229,popularity,4
230,Yet,52
231,it,4576
232,drastically,2
233,imperfect,2
234,Impressive,1
235,inspirations,2
236,mix,5
237,coarsest,1
238,triteness,1
239,inordinate,1
240,amount,59
241,padding,2
242,bombast,1
243,reliance,1
244,on,3024
245,formulae,20
246,most,393
247,shameless,1
248,Telemann,1
249,Nor,16
250,did,625
251,things,167
252,improve,18
253,as,2352
254,grew,30
255,beyond,30
256,subjection,1
257,state,79
258,reproof,1
259,Some,134
260,late,76
261,notably,8
262,Fourteenth,1
263,songs,6
264,Michaelangelo,1
265,texts,1
266,are,2814
267,among,108
268,greatest,18
269,succession,7
270,string,7
271,quartets,1
272,poverty,11
273,substance,15
274,spiritual,5
275,exhaustion,1
276,exemplified,1
277,rather,221
278,than,690
279,expressed,18
280,obviously,32
281,Soviet,14
282,composers,6
283,had,1873
284,bear,26
285,cruellest,1
286,treatment,40
287,Bold,2
288,spirits,10
289,satellite,3
290,countries,40
291,were,1129
292,able,132
293,take,314
294,liberties,2
295,home,182
296,Lutoslawski,1
297,Penderecki,2
298,Kurtag,3
299,when,707
300,get,519
301,away,204
302,person,190
303,Panufnik,1
304,Ligeti,7
305,change,92
306,policy,97
307,unfrozen,1
308,flood,2
309,younger,29
310,figures,87
311,who,836
312,undergone,3
313,similar,105
314,repression,5
315,though,228
316,conditions,47
317,their,1187
318,work,297
319,remain,39
320,poignant,2
321,precarious,4
322,Recently,3
323,been,1298
324,country,92
325,through,259
326,broadcasts,2
327,festivals,1
328,enough,130
329,form,150
330,initial,13
331,overall,15
332,view,121
333,I,4799
334,believe,77
335,deluded,2
336,claim,72
337,find,173
338,artistic,2
339,pleasure,13
340,any,581
341,but,1674
342,fraction,7
343,Here,66
344,content,13
345,locate,2
346,projection,1
347,what,832
348,its,667
349,heart,43
350,stone,15
351,would,1169
352,moved,29
353,Take,21
354,knowledge,49
355,vanish,2
356,rarely,13
357,stand,52
358,own,257
359,merits,3
360,second,127
361,evaluation,17
362,deals,22
363,religious,15
364,however,133
365,vague,5
366,nostalgia,4
367,apparent,24
368,after,418
369,era,8
370,aggressive,9
371,atheism,1
372,either,74
373,great,171
374,organized,8
375,beliefs,2
376,or,1761
377,substitutes,1
378,chiming,2
379,better,174
380,freer,1
381,spirit,32
382,times,85
383,In,615
384,Sixties,4
385,Gurus,1
386,pop,16
387,thing,206
388,present,96
389,mood,12
390,sombre,4
391,apocalyptic,1
392,identification,8
393,attempts,25
394,part,192
395,vast,26
396,area,79
397,tends,15
398,empathy,1
399,void,3
400,needs,64
401,satisfied,12
402,so,975
403,offered,38
404,sacrosanct,1
405,must,347
406,good,367
407,pretends,3
408,Instances,1
409,St,51
410,Luke,1
411,Passion,1
412,John,100
413,Arvo,1
414,Part,4
415,Messiaen,3
416,Transfiguration,1
417,Britten,1
418,War,25
419,Requiem,1
420,Tippett,1
421,Mask,1
422,Time,13
423,Birtwistle,1
424,Orpheus,1
425,Steve,10
426,Reich,2
427,Desert,2
428,Music,8
429,much,442
430,output,6
431,Tavener,1
432,Jonathan,3
433,Harvey,1
434,above,82
435,all,1063
436,Stockhausen,1
437,wonder,50
438,Licht,1
439,Such,37
440,Holocaust,2
441,Hiroshima,1
442,Aids,2
443,escaped,12
444,makes,102
445,fortress,1
446,unassailable,1
447,art,21
448,produced,36
449,tyranny,1
450,worth,67
451,individual,89
452,pieces,13
453,very,609
454,various,43
455,consistent,8
456,piety,1
457,ensuring,4
458,elevated,1
459,theme,5
460,produces,10
461,response,30
462,These,122
463,coldly,3
464,exploiting,3
465,audiences,2
466,kindness,4
467,equally,23
468,victims,38
469,going,321
470,ideology,6
471,And,515
472,hard,113
473,truth,32
474,nailed,3
475,accuracy,20
476,other,615
477,got,463
478,does,391
479,guarantee,12
480,quality,60
481,Most,71
482,sincere,1
483,Stravinsky,4
484,added,58
485,bad,90
486,Ersatz,1
487,emotion,4
488,replaces,4
489,difficulty,22
490,understanding,19
491,intricate,2
492,designs,7
493,evaded,3
494,factitious,1
495,being,391
496,exalted,1
497,troubled,8
498,important,144
499,messages,4
500,nothing,140
501,Artistic,1
502,value,51
503,extra,50
504,threnody,1
505,Chernobyl,6
506,Without,11
507,message,18
508,wishful,1
509,thinking,44
510,capacities,14
511,show,128
512,how,339
513,eager,9
514,deeply,19
515,stirred,1
516,easily,51
517,gulled,1
518,low,70
519,enjoyment,3
520,set,147
521,our,293
522,time,584
523,What,345
524,little,293
525,depend,10
526,heavily,11
527,these,482
528,impurities,1
529,No,692
530,deny,17
531,can,1074
532,embody,1
533,humane,1
534,themes,5
535,That,328
536,profoundly,1
537,vital,15
538,handling,6
539,primary,17
540,elements,15
541,write,42
542,song,8
543,dance,13
544,exercise,30
545,Bruckner,1
546,used,195
547,classes,37
548,fifth,11
549,octave,1
550,struck,13
551,piano,6
552,essence,8
553,higher,65
554,flights,3
555,transcendental,6
556,highest,13
557,degree,32
558,imaginable,2
559,ways,48
560,manifestly,3
561,intelligible,4
562,effectual,1
563,quite,223
564,insusceptible,1
565,verbal,1
566,accounting,3
567,Debussy,1
568,answer,51
569,journalist,5
570,asked,79
571,was,2971
572,familiar,39
573,heaven,5
574,yes,240
575,natter,1
576,about,792
577,strangers,3
578,silly,11
579,sounds,23
580,Evasive,1
581,certainly,56
582,acknowledge,5
583,uttered,2
584,expresses,3
585,feels,29
586,making,98
587,essentially,11
588,motivation,2
589,means,199
590,skill,4
591,experience,45
592,command,6
593,ends,22
594,here,362
595,visionary,1
596,oratorio,1
597,opera,5
598,buffa,1
599,craggy,2
600,etude,1
601,melting,1
602,morceau,1
603,de,20
604,salon,1
605,craft,6
606,measure,15
607,whereby,12
608,valued,5
609,achieved,22
610,consciously,2
611,inadvertently,2
612,heights,1
613,depths,9
614,expression,10
615,joy,6
616,ever,124
617,judged,4
618,attentiveness,1
619,sensitive,13
620,discriminating,2
621,possible,115
622,Above,7
623,specific,33
624,undogmatic,1
625,reaction,28
626,details,45
627,style,24
628,technique,4
629,particular,126
630,passage,9
631,Naturally,3
632,recognize,9
633,moments,7
634,where,509
635,sweeps,1
636,before,304
637,All,102
638,rest,52
639,emotional,14
640,blackmail,4
641,RECORD,1
642,REVIEWS,1
643,Violent,1
644,Piano,2
645,Concerto,3
646,1,80
647,Chamber,7
648,Seven,3
649,Preludes,3
650,Op,2
651,34,10
652,Evgeny,2
653,Kissin,1
654,Moscow,6
655,Virtuosi,2
656,Vladimir,2
657,Spivakov,2
658,RCA,1
659,Victor,1
660,RD87947,1
661,Rachmaninov,2
662,32,4
663,Sonata,1
664,Lilya,3
665,Zilberstein,3
666,SIMON,2
667,MUNDY,1
668,IT,9
669,IS,2
670,14,42
671,years,406
